text,news_link,label,outlet,topic,type,label_opinion,biased_words,uuid,debiased_text,roberta_debiased_prediction,roberta_debiased_label,original_sentiment,original_sentiment_score,debiased_sentiment,debiased_sentiment_score,original_bias_label,original_bias_score,debiased_bias_label,debiased_bias_score
"It's perverse that any other governor would follow Abbott's lead, for he presides over a health care disaster.",https://feeds.feedblitz.com/~/629240450/0/alternet_all~The-GOP%e2%80%99s-grotesque-plan-to-cope-with-COVID/,1,Alternet,universal health care,1,Expresses writer’s opinion,"['perverse', 'disaster']",PXiQFzcHqvYPtVrwyAsuC5,The Texas Governor has been criticized by many for his handling of COVID 19 pandemic in the state.,0,right,negative,0.8871012,negative,0.8393336,Non-biased,0.6166872382164001,Non-biased,0.7782039046287537
"They gobble down internet conspiracy theories like QAnon, which creates engagement with right-wing politics for those who aren't religious conservatives or business elites. ",https://www.alternet.org/2020/11/qanon-trump/,1,Alternet,gun control,1,Expresses writer’s opinion,"['gobble', 'down']",mYGzWconxpvKb4MCw4sqXB,People are drawn towards online conspiracies such as QAnon because they provide a sense of community and belonging that is lacking in other areas of their lives. This can lead them to become more politically engaged and supportive of right-wing causes.,0,right,negative,0.5273786,neutral,0.56471795,Biased,0.6043882369995117,Biased,0.9888463616371155
"Democrat Stacey Abrams, who lost the 2018 gubernatorial election in Georgia and now runs a voters right organization, praised South Korea’s recent vote-by-mail election at the hearing.",https://www.breitbart.com/politics/2020/06/03/fitton-true-voter-suppression-is-telling-americans-they-may-die-from-coronavirus-if-they-vote-in-person/,0,Breitbart,elections-2020,0,Entirely factual,[],hKK9g6zFmzUdZu9iyzEHqQ,"Stacey Abrams, Democrat from Georgia, lauded South Korean elections that were conducted by mail during her testimony before Congress on Wednesday.",0,right,neutral,0.64220375,positive,0.64276534,Non-biased,0.9340522885322571,Non-biased,0.7297884821891785
"White House Press Secretary Kayleigh McEnany voiced tepid support for Defense Secretary Mark Esper, after he stated Wednesday that he did not support invoking the Insurrection Act, which would allow active-duty troops to act in domestic law enforcement roles.",https://www.breitbart.com/politics/2020/06/03/white-house-press-secretary-as-of-right-now-secretary-esper-is-still-secretary-esper/,1,Breitbart,elections-2020,0,Somewhat factual but also opinionated,['tepid'],fRbMwrhtDFv4grvtvCviaK,The White House's press secretary expressed her mild approval of defense secretary Mark Esper on Wednesday when he said he didn’t back using federal military forces against protesters.,0,right,neutral,0.7563141,neutral,0.57385147,Non-biased,0.675848662853241,Biased,0.6551409959793091
Proponents of these vaccines twist the Vatican’s words to sound like approval: The use of such vaccines...,https://thefederalist.com/2020/05/06/as-long-as-vaccines-are-tied-to-abortion-christians-need-exemptions/,1,Federalist,vaccines,0,Expresses writer’s opinion,[],yY9WaPhjs5qe6yswR2nXwc,The proponents of those vaccinations twisted the Vatican's words in order to make it seem as if they were approved by them.,0,right,negative,0.52979434,neutral,0.5844997,Biased,0.7923199534416199,Non-biased,0.5032420754432678
It’s a mafia state. There’s no control. There’s no regulation. The system is full of legalized bribery. The electoral process is corrupt as well. The courts are stacked with right-wing ideologues.,https://www.alternet.org/2020/07/gangster-capitalist-trump-is-running-a-mafia-state-and-things-are-about-to-get-worse-pulitzer-prize-winning-journalist/,1,Alternet,black lives matter,1,Expresses writer’s opinion,"['mafia', 'state']",oUugfyRJZHip4PpHCFo6Lf,The government has been accused by some critics for being too lax in controlling organized crime groups that operate within the country. Some politicians also criticize the lack of transparency in the election processes which they say allows illegal campaign contributions from,0,right,negative,0.94513416,negative,0.82481736,Biased,0.5346651673316956,Non-biased,0.7692220211029053
"After winning his 15th major championship, the legendary golfer Tiger Woods got a chance to laugh at all who doubted him.",https://www.huffpost.com/entry/tiger-woods-masters-win-fan-reaction_n_5cb4c342e4b0ffefe3b4c801,1,HuffPost,sport,1,Expresses writer’s opinion,[],HuAMgyfrdqptfRMmLjDqx5,The golf champion Tiger Woods won his fifteenth major title after years of being criticized for not performing well in tournaments.,2,center,positive,0.64722246,neutral,0.6836749,Non-biased,0.6365405917167664,Non-biased,0.8853092789649963
"In practice, the U.S. quietly provides health care to at least ten million illegal migrants who are in the United States, while also erecting tough physical and legal barriers to the arrival of yet more illegal aliens.",http://feedproxy.google.com/~r/breitbart/~3/fa62T5_8tMY/,1,Breitbart,universal health care,0,Entirely factual,"['illegal', 'aliens']",jYuQJKDMuQcW9qdx8GXJ3H,The US government has been providing medical services for undocumented immigrants since 1987. This is a controversial issue because some people believe that it encourages further migration into America from Mexico and other countries with high rates of poverty or violence.,0,right,neutral,0.5871217,negative,0.6794228,Non-biased,0.6908941268920898,Non-biased,0.7374157309532166
"In these times of left-wing mobs filling the streets, assaulting civilians and police officers, destroying property with apparent impunity, flagrantly defying coronavirus social distancing rules, and even seceding from the Union, one of the few consolations for conservatives is the notion that gun rights appear to be safe for a generation to come. ",http://feedproxy.google.com/~r/breitbart/~3/MBTkPPu9uSo/,1,Breitbart,gun control,0,Somewhat factual but also opinionated,"['mobs', 'flagrantly', 'impunity', 'left-wing', 'apparent']",8ufV9hkiazEarwuraX4ghe,"In these times when left-wing mobs are attacking people in the street, violating COVID-19 restrictions by gather",0,right,negative,0.8294497,negative,0.9322168,Biased,0.8738557696342468,Biased,0.8400201201438904
"After tremendous pressure on the Department of Homeland Security, Miller is advancing his agenda of not just blocking migrants from entering the country illegally, but making life in the U.S. so unbearable for legal immigrants that they leave the country.",https://www.alternet.org/2019/08/top-trump-white-nationalist-stephen-miller-just-won-a-major-battle-against-legal-immigrants/,1,Alternet,immigration,1,Somewhat factual but also opinionated,"['tremendous', 'unbearable']",pELkYvkL55kHKmkAspPvxg,The United States government has been pressured by many groups into taking a more restrictive stance against illegal migration. This policy change will make it harder for people who are legally allowed to enter the US to do so as well,0,right,negative,0.7812187,negative,0.63896704,Non-biased,0.5937686562538147,Biased,0.6372150778770447
"An illegal alien has been charged with enticing a 13-year-old girl through social media and raping her in Madison County, Alabama.",https://www.breitbart.com/politics/2020/02/03/illegal-alien-charged-with-enticing-raping-13-year-old-girl-in-alabama/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,immigration,0,Entirely factual,"['illegal', 'alien']",NWCWAdz3ETDHd5qCGwjQAS,"A person who is not legally allowed into or remain within a country illegally was arrested for using an online platform to lure a minor and then sexually assault them in Madison county, Alabama.",0,right,negative,0.88445956,negative,0.93499607,Biased,0.6249715685844421,Non-biased,0.6388893127441406
"Of course, social distancing will be inconceivable for football players and the results all too predictable in a world in which Covid-19 is likely to hang around for a long, long time. ",https://www.alternet.org/2020/04/why-trump-is-so-eager-to-bring-back-professional-sports/,1,Alternet,sport,1,Somewhat factual but also opinionated,['long'],iM87oV3g4cc2feRNSWNABc,Social distancing may not be possible for professional athletes during games or practices due to their close contact with one another on the field of play. This could lead to an increase in COVID-19 cases among these individuals as well as those who attend sporting events where they are present.,1,left,negative,0.6350682,neutral,0.48710564,Biased,0.9610670208930969,Biased,0.5055023431777954
The legislation ends criminal penalties for self-abortion and – in the case of an unborn baby who is the victim of a homicide – defines “person” as “a human being who has been born and is alive.”,https://www.breitbart.com/politics/2019/01/07/hillary-clinton-joins-ny-gov-andrew-cuomo-in-push-for-very-late-term-abortions/,1,Breitbart,abortion,0,Somewhat factual but also opinionated,[],Cmw5JjuEf8Sq49jdsL4tvN,"Legislators passed a bill that ended criminal penalties for abortions performed on oneself or by another person. It also defined ""human"" as someone who was already born and living.",0,right,neutral,0.535777,neutral,0.74635696,Biased,0.9525133371353149,Biased,0.9506372809410095
"Yet when researchers in the U.S. have been so corrupt they have gone to jail, mainstream scientists still accept their research.",https://www.alternet.org/2017/01/big-pharma-anti-vaccines/,1,Alternet,vaccines,1,Somewhat factual but also opinionated,['mainstream'],6eKcAWJv69vWHEVdvWNwYS,"When researchers in the US are found guilty of scientific misconduct or fraud, other researchers continue to cite them as a source for further study.",0,right,negative,0.8602519,negative,0.5347093,Biased,0.9193003177642822,Non-biased,0.8262628316879272
"Specifically, Republicans–as they have demonstrated for three consecutive legislative days–intend to push for a floor vote against Democrat Speaker Nancy Pelosi’s wishes on a piece of legislation from Rep. Ann Wagner (R-MO) that would ensure babies who are born alive following an abortion attempt are given the same medical treatment and care any other newborn baby would receive.",https://www.breitbart.com/politics/2019/02/08/exclusive-house-gop-plans-sustained-effort-to-expose-leftist-democrats-on-abortion/amp/?__twitter_impression=true,1,Breitbart,abortion,0,Entirely factual,[],TyTiQjhW8s4w9mZtx8abWm,The Republican Party has voted in favor of ensuring all children born after failed attempts at abortions will get proper,1,left,neutral,0.6678168,neutral,0.71032196,Non-biased,0.9110389351844788,Biased,0.946622371673584
"Everywhere he went on Monday, Trump was greeted by thousands of cheering Indian citizens, troops of traditional dancers and roadways lined with posters and billboards celebrating his visit.",https://www.foxbusiness.com/politics/trumps-india-visit-moves-to-trade-military-talks,0,Fox News,international-politics-and-world-news,0,Entirely factual,[],ajM488fnZo2Jy4VNbBJaMD,Trump's trip to India in February 2020 saw him being welcomed everywhere by large crowds of people who were enthusiastic about meeting their presidential candidate for the first time.,0,right,positive,0.88346,positive,0.97004795,Non-biased,0.5558144450187683,Non-biased,0.7720007300376892
As congressional Republicans unsuccessfully voted to defund the ACA more than 50 times he went on the warpath against an obscure portion of the law meant to safeguard participating insurance companies against crippling financial loss as a result of the new requirement to cover clients with pre-existing conditions.,https://www.alternet.org/2020/04/marco-rubios-final-humiliation-gops-seven-year-campaign-against-key-obama-policy-was-just-terminated-by-the-supreme-court/,1,Alternet,universal health care,1,Somewhat factual but also opinionated,"['warpath', 'obscure', 'crippling']",C7PZJbC7ARTBKv59kWvo9n,Congressional republican efforts to repeal or replace Obamacare failed repeatedly over the years. In response President Trump launched attacks on the Affordable Care Act (AC,1,left,negative,0.66317385,negative,0.8544076,Non-biased,0.5786631107330322,Non-biased,0.6508783102035522
Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.,https://thefederalist.com/2017/01/24/trumps-national-day-patriotic-creepy/,1,Federalist,white-nationalism,0,Expresses writer’s opinion,['sloganeering'],tvtdHzrrGGceAmBjJcs6gV,Politics has nothing to do with patriotic feelings - especially if politicians' speeches sound like propaganda from the USSR in the '50s.,0,right,negative,0.9072736,negative,0.7851653,Biased,0.6256999373435974,Biased,0.9732910990715027
"This institutionalised incompetence and sclerosis may well explain why Britain has plummeted to the bottom quarter of Organisation for Economic Co-operation and Development (OECD) countries for Covid-19 diagnostic testing, per capita.",http://feedproxy.google.com/~r/breitbart/~3/M1xgKTs6UKg/,1,Breitbart,universal health care,0,Expresses writer’s opinion,"['sclerosis', 'institutionalised', 'incompetence']",TW5nwzX4hSv38F7Eqf6FDz,The UK's low position on OECD rankings for COVID-19 test rates is likely due to a combination of bureaucratic obstacles and poor planning by government officials.,0,right,negative,0.8950757,negative,0.80241555,Biased,0.9826899766921997,Biased,0.6297890543937683
Perhaps that is why both Warren and Sanders have gone out of their way to hammer home the fact that their proposals would only affect the wealthiest Americans.,https://www.foxbusiness.com/money/middle-class-americans-worry-wealth-tax,1,Fox News,middle-class,0,Somewhat factual but also opinionated,[],cr25WWR8MGRZ5CQRu4oUkT,It may explain why both candidates have emphasized how their plans will not impact middle class families.,0,right,neutral,0.5771706,negative,0.5369393,Non-biased,0.81827312707901,Non-biased,0.7892220616340637
"On top of the enormous financial impact, these beauty regimens require these women to take the time out of their busy schedules to attend to their appearances in a way that men in power are spared. ",https://www.alternet.org/2019/10/the-real-scandal-behind-aocs-haircut/,1,Alternet,gender,1,Somewhat factual but also opinionated,['enormous'],Gy4kWhxGQUPytm3Yj4jrno,The economic burden on women is exacerbated by the need for them to spend more time than men do attending to their appearance.,0,right,neutral,0.6335297,negative,0.7852861,Non-biased,0.8768419027328491,Biased,0.5643035769462585
"Sanders praises the radical Green New Deal, champions a Medicare for All plan with a $34 trillion price tag, nods to abortion as a means of population control, and defends bread lines and Fidel Castro’s Cuba. ",https://thefederalist.com/2020/02/24/bernie-sanders-is-crazy-but-the-only-candidate-voters-actually-like/#.XlQSQ7jGNzU.twitter,1,Federalist,abortion,0,Somewhat factual but also opinionated,[],Y3n5W4QsfvrKG7PcmJUYgk,"Bernie Sanders is an American politician who has been serving in Congress since 1987. He was elected mayor of Burlington, Vermont in 2006. In his campaign he advocates for universal healthcare",0,right,neutral,0.5426463,positive,0.7785699,Biased,0.6820458769798279,Non-biased,0.5953773856163025
"Since Roe v. Wade, when the Supreme Court recognized the constitutional right to an abortion, state lawmakers have devised novel ways to cut off access to the procedure without banning it outright. One strategy is to require clinics and doctors to comply with an ever-expanding list of regulations, with the goal of essentially red-taping providers out of business.",https://www.huffpost.com/entry/john-roberts-abortion-supreme-court_n_5e613793c5b601904ea6fd78,1,HuffPost,abortion,1,Somewhat factual but also opinionated,[],jHcmrrvf4vzBKQL6MAGSnc,The U.S. Supreme Court's decision in _Roe_ has resulted in states enacting,1,left,neutral,0.61493665,neutral,0.9313456,Biased,0.9950951337814331,Non-biased,0.6366651058197021
"Democrat presidential candidate Joe Biden urged members of the U.S. Women’s National Soccer team to keep fighting for equal pay, after a judge threw out their lawsuit claiming discrimination.",http://feedproxy.google.com/~r/breitbart/~3/3i1LrhlZg3A/,0,Breitbart,gender,0,Entirely factual,[],pZqqYEvfo2BPSrpptCpLwx,"The Democrat Presidential Candidate Joe Biden urges members of the USWNT to continue fighting for Equal Pay, despite a Judge throwing out their Law Suit allegations that they were being Discriminated against.",0,right,neutral,0.7418687,neutral,0.68009263,Non-biased,0.9075954556465149,Biased,0.5493893027305603
"Despite a pandemic, one-sided presidential nomination contests, and nationwide protests about police violence and racial equality, the primaries were important — and instructive. ",https://www.alternet.org/2020/06/want-candidates-who-will-reach-beyond-their-base-change-how-we-vote/,0,Alternet,elections-2020,1,Somewhat factual but also opinionated,[],mAw8rz7NY4XvgqYCNTwtSG,"The primary elections despite being held in the midst of a global health crisis, partisan politics, and social unrest, still managed to provide valuable insights into how Americans are thinking about their country's future.",1,left,neutral,0.459835,neutral,0.5145841,Non-biased,0.5340800285339355,Non-biased,0.5128995180130005
Officials at Dartmouth College looked the other way this week when a group of leftist student activists disrupted classes to bring attention to their support for the Green New Deal.,https://www.breitbart.com/tech/2020/02/11/dartmouth-officials-allow-green-new-deal-protesters-to-crash-classes/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,environment,0,Somewhat factual but also opinionated,['leftist'],gSkpXRTydVRiiEBqZDjS5K,Dartmouth officials ignored calls from students who wanted them to take action against those protesters who were trying to make classrooms unsafe by interrupting lectures in order to promote an agenda that is not supported by most Americans.,0,right,neutral,0.6501281,negative,0.9144429,Non-biased,0.5256299376487732,Biased,0.5784330368041992
"A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.",https://www.breitbart.com/politics/2019/05/09/professor-climate-change-causes-anxiety-and-trumps-election-makes-it-worse/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,environment,0,No agreement,[],yoMBtRutk2Q7CwgSeHWDLG,A professor teaching on climate change says that her students are suffering from fears for their futures.,0,right,negative,0.70317644,negative,0.8694989,Non-biased,0.8791373372077942,Non-biased,0.606115460395813
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.",https://www.huffpost.com/entry/joe-biden-left-bernie-sanders-medicare-college-debt_n_5e8f8dcfc5b6d641a6bc05d9,0,HuffPost,student-debt,1,Entirely factual,[],sKjVJzJgg3ASzPNpWe9UtV,The polls of the Democratic primaries show that Bernie Sanders is winning among young people by a large margin. Early polls for the presidential elections also indicate that Joe Biden will not do as well with this demographic group compared to previous candidates from his party.,0,right,neutral,0.63134277,neutral,0.5586187,Biased,0.9894787669181824,Biased,0.7750444412231445
Brooklyn measles outbreak: How a glossy booklet spread anti-vaccine messages in Orthodox Jewish communities,https://www.nbcnews.com/news/us-news/brooklyn-measles-outbreak-how-glossy-booklet-spread-anti-vaccine-messages-n993596,1,MSNBC,vaccines,1,Somewhat factual but also opinionated,"['glossy', 'spread']",axaPWQnJvo5HkgAbTYSgq4,Brooklyn measles outbreak: How an informational pamphlet spread misinformation about vaccines among members of the local orthodox community,1,left,negative,0.692233,negative,0.64202505,Biased,0.5417957305908203,Biased,0.5534607768058777
"To the extent the Times created space for explanations, it was for claims that the protests had begun peacefully.",http://feedproxy.google.com/~r/breitbart/~3/B0iqqthw_uw/,0,Breitbart,black lives matter,0,Somewhat factual but also opinionated,['claims'],Kk97NLCaEL3ueGLss362ow,The Times created space for explanations of how the protests began peacefully.,0,right,neutral,0.816301,neutral,0.7667382,Non-biased,0.6279349327087402,Non-biased,0.6932218074798584
"The whole endeavor, born of desperation, became an embarrassing fiasco for the president, but there was an underlying point of real significance: Trump and his allies realized that the American mainstream didn’t see the value of the regressive GOP tax plan, which disproportionately benefited the wealthy and big corporations.",http://www.msnbc.com/rachel-maddow-show/team-trump-claims-be-gearing-tax-cuts-20,1,MSNBC,middle-class,1,Somewhat factual but also opinionated,"['embarrassing', 'fiasco', 'desperation']",PCvQhRr9nHSSPQBqYm89r6,"The entire effort, borne out of a sense of urgency, turned into an unfortunate debacle for President Trump; however, it",1,left,negative,0.7729733,negative,0.7665934,Biased,0.993690013885498,Biased,0.6831591725349426
"If China’s actions in the coronavirus catastrophe offer any window into this communist regime’s machinations, deceitfulness, and debasement of human life, it is that the threat they represent is unlike anything America has faced.",https://thefederalist.com/2020/05/19/what-u-s-national-strategy-should-look-like-in-the-wake-of-coronavirus/,1,Federalist,coronavirus,0,Expresses writer’s opinion,"['deceitfulness', 'debasement', 'machinations', 'threat', 'of', 'human', 'life']",7ygdRqJi4yifEuGpvrjsFu,"The Chinese Communists' response to COVID-19 offers a glimpse at their true nature as an authoritarian government. Their lack of transparency, disregard for human rights, and willingness to sacrifice lives shows how dangerous they are",0,right,negative,0.8546708,negative,0.95861304,Biased,0.9901599287986755,Biased,0.9862826466560364
"While a number of transgender advocates and LGBTQ health experts applauded P&G’s decision to redesign the Always packaging by removing the female signs, the company’s announcement sparked criticism online, including a bounty of transphobic commentary.",https://www.nbcnews.com/feature/nbc-out/always-remove-female-symbol-sanitary-products-packaging-n1069721,1,MSNBC,gender,1,Entirely factual,[],vKuiaSmQ4ekb7RCKQSnZVP,"The recent change in design for feminine hygiene products has been met with both praise and criticism from various groups. While some see it as an important step forward towards inclusivity, others believe that",0,right,neutral,0.5385847,positive,0.6042923,Biased,0.9176867008209229,Biased,0.9763681888580322
"What we learn from those places is that people who know they don’t have police protection will seek protection from whomever wields power, which is why even now you see businessowners whose stores have been looted and burned out expressing supporter for BLM and the ongoing protests.",https://thefederalist.com/2020/06/05/abolish-the-police-is-a-slogan-for-the-destruction-of-america/,1,Federalist,elections-2020,0,Somewhat factual but also opinionated,[],9xBY95aPMjneKbSWXndcC9,"The lesson learned in these cities with high crime rates is that when citizens are not protected by law enforcement officers, they turn to other sources of security such as gang members or vigilantes. This",1,left,negative,0.6754512,negative,0.7490429,Non-biased,0.703802764415741,Non-biased,0.6545290350914001
"Malinowski, a Democrat representing New Jersey’s seventh congressional district, said in a call that he would threaten McConnell by withholding Lysol for his constituents.",https://www.breitbart.com/politics/2020/04/09/democrat-tom-malinowski-jokes-about-withholding-coronavirus-disinfectant-from-kentuckians/,0,Breitbart,coronavirus,0,Entirely factual,[],6LFADzDmwfh7MR3QHpTTWP,The Democratic representative from New Jersey's 7th Congressional District threatened Senate Majority Leader Mitch McConnell (R) of Kentucky on Wednesday morning during an online meeting about coronavirus relief legislation.,0,right,negative,0.6335215,neutral,0.5380072,Non-biased,0.85170578956604,Biased,0.9760101437568665
"The targeted killing is the latest demonstration of how, two decades after the CIA spotted but was unable to kill a man they believed was al Qaeda leader Osama bin Laden in Afghanistan, the U.S. has become adept at hunting and killing its enemies, particularly in the troubled regions of the Middle East, South Asia and Africa.",https://www.nbcnews.com/news/mideast/airport-informants-overhead-drones-how-u-s-killed-soleimani-n1113726?cid=public-rss_20200114,1,MSNBC,international-politics-and-world-news,1,Somewhat factual but also opinionated,"['hunting', 'killing']",ZBDfsicZ5dpXRZXcYVqJcL,"Targeted killing is the latest example of how, over 20 years since the CIA first identified an individual as Al-Qaida",1,left,negative,0.7567481,negative,0.769928,Biased,0.9724595546722412,Non-biased,0.9314396381378174
Joe Biden told Wall Street donors to his campaign that he planned to reverse most of President Donald Trump’s tax cuts.,http://feedproxy.google.com/~r/breitbart/~3/8NXVl-jH8o8/,0,Breitbart,taxes,0,Entirely factual,[],m3pqApLpWp89XqQydEU6Tj,Joe Biden told Wall Street donors to his campaign that he intended to undo many of President Donald Trump's tax cuts.,0,right,neutral,0.75389457,neutral,0.6976469,Biased,0.5133656859397888,Non-biased,0.67037034034729
"It’s Dr. Martin Luther King, Jr. Day, and for several hours now countless mostly white, mostly male pro-gun, anti-gun control activists have been marching throughout the streets of Richmond, Virginia, claiming to merely be exercising their Second Amendment rights. ",https://www.alternet.org/2020/01/virginia-gun-rally-sparks-questions-of-racism-and-privilege-can-you-imagine-a-group-of-black-men-walking-around-with-masks-and-guns/#.XiYfKQuWzhU.twitter,1,Alternet,gun control,1,Somewhat factual but also opinionated,['claiming'],sLzFFRVxGdQNWZkqzkUytk,"It is a holiday in honor of Dr. Martin Luther King, Jr., but many people are using it as an opportunity to protest gun laws by walking through city streets with guns.",0,right,neutral,0.6126556,neutral,0.50713557,Biased,0.87347412109375,Non-biased,0.6008073687553406
"This is all great news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?",https://www.nbcnews.com/think/opinion/hpv-vaccine-trial-anti-vaxxers-mobilize-against-effective-cancer-prevention-ncna1033161,1,MSNBC,vaccines,1,Somewhat factual but also opinionated,"['anti-vaxxers', 'great']",35tQF5XDcsBkAbcudRRg2y,"This is all good news. There are several reasons for this. Firstly, there's no reason not to get vaccinated against COVID-19 as it can save lives. Secondly, if you do contract COVID-19 then your chances of developing",0,right,positive,0.8524184,positive,0.8753836,Biased,0.991600513458252,Non-biased,0.607410728931427
"Merril Hoge, one of the most outspoken critics against the alarm surrounding CTE studies, also underscored that, from his lens, demonizing sports like football does more harm to American children than good.",https://www.foxnews.com/health/hype-or-horror-the-risk-of-cte-brain-disease-divides-football-and-medical-communities?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fhealth%20%28Internal%20-%20Health%20-%20Text%29,0,Fox News,sport,0,Entirely factual,[],x4DWeNsetiScac2FLhg3eY,The former NFL player Merrill Hoge has criticized those who are concerned about concussions in professional athletes as being overly cautious when it comes to their own health. He believes that playing contact sports is a necessary part of growing up for young people because they teach,0,right,negative,0.8808591,neutral,0.6297136,Biased,0.7788211107254028,Non-biased,0.6653918027877808
"Spanish football was marred by a player being racially abused during a league game on Saturday, along with street clashes between rival fans outside stadiums before two matches.",https://www.foxnews.com/sports/spanish-league-president-condemns-racism-fan-street-clashes,0,Fox News,sport,0,Somewhat factual but also opinionated,[],EhH4tUNq9QfgHYBYxvvkDz,Football in Spain has been marred by racist incidents at games as well as violence among supporters prior to matches.,2,center,negative,0.89702076,negative,0.93434113,Non-biased,0.6227229237556458,Biased,0.5208813548088074
"When he finally spoke in the Rose Garden on Monday, Trump threatened to deploy the military against American citizens if the governors didn’t take his advice for a more forceful crackdown. This threat didn’t appear to cow anyone, and only increased the anger. ",https://www.alternet.org/2020/06/trump-thought-a-violent-crackdown-would-be-a-big-win-but-the-protesters-have-the-upper-hand/,1,Alternet,trump-presidency,1,Somewhat factual but also opinionated,"['threatened', 'threat', 'cow']",9YidYfbKtTjMD6FdSbJeP4,President Donald Trump threatened to use the U.S. Military to enforce social distancing guidelines from state leaders who were not taking his advice. His threats did not deter people or increase their support of him.,1,left,negative,0.82178503,negative,0.6908823,Non-biased,0.53542160987854,Biased,0.9285854697227478
Michael Kranish of the Washington Post also published a lengthy article detailing Bloomberg’s verbal diarrhea when it came to expressing his uglier views on women. ,https://www.alternet.org/2020/02/if-democrats-nominate-mike-bloomberg-we-deserve-4-more-years-of-trump/,1,Alternet,black lives matter,1,No agreement,"['uglier', 'verbal', 'diarrhea']",mWhnTuGiAbDzTDouFFq7hL,The Washington Post's Michael Kranish also wrote an extensive article about how former New York City Mayor Mike Bloomberg expressed negative sentiments toward women in private conversations with others.,0,right,negative,0.6062361,neutral,0.51206183,Biased,0.7232074737548828,Non-biased,0.5736339092254639
"Top Democrat and GOP members of the House Armed Services Committee ducked and dodged when a Pentagon official said the sex of transgender soldiers is decided by their biology, not by their claimed “gender identity.”",,1,Breitbart,gender,0,Somewhat factual but also opinionated,"['ducked', 'dodged', 'claimed']",AArZtYRHPq62Mac2VquxAf,The top Democrats and Republicans on the U.S. Congress’s armed services committee avoided answering questions about whether they believed that gender was determined by one's genitalia or self-identification.,2,center,negative,0.65576583,neutral,0.53315634,Non-biased,0.7406284213066101,Biased,0.9880133867263794
Inside Trump’s brazen plot to gut Social Security,https://feeds.feedblitz.com/~/623767634/0/alternet_all~Inside-Trump%e2%80%99s-brazen-plot-to-gut-Social-Security/,1,Alternet,taxes,1,Expresses writer’s opinion,['brazen'],KaFmdkiAwGZMvyL3XkFVmy,Trump's plan would cut benefits for millions of retirees by reducing cost-of-living adjustments (COLAs) in an effort to balance the federal budget.,2,center,negative,0.5406297,neutral,0.6519133,Biased,0.9763042330741882,Non-biased,0.776155948638916
Abortion rights advocates worry this could make it more difficult for women to get access to abortion through the courts or that it could lead to criminalizing contraception or in-vitro fertilization.,https://www.msn.com/en-us/news/politics/voters-in-two-states-approved-abortion-restrictions-on-tuesday/ar-BBPqVQk,0,MSNBC,abortion,1,Entirely factual,[],utkx5TV2RD59sPBGLiLWRQ,Women's health groups are concerned about a Supreme Court decision which may limit their ability to obtain an abortion by court order or make them criminally liable if they use birth control methods such as IUDs (intrauterine devices).,2,center,negative,0.8358721,negative,0.77951896,Non-biased,0.8376869559288025,Non-biased,0.8336381316184998
"So it appears McCabe is allowed to lie to federal investigators about corruption affecting the U.S. government, cover it up with more lies, and get off scot-free even though what he did is a crime, while Stone faces years in prison for lying about gossip that affected nothing of public importance.",https://thefederalist.com/2020/02/17/doj-furor-latest-attempt-to-help-democrats-hide-spygate-undermine-elections/,1,Federalist,elections-2020,0,Expresses writer’s opinion,[],VtemDWTRoyLETe3QqgJKU8,The former FBI deputy director was cleared by an internal investigation after being accused of leaking information to reporters during his tenure at the agency.,2,center,negative,0.79156804,neutral,0.7711944,Biased,0.9895646572113037,Non-biased,0.6440085172653198
"It’s also hard to imagine many people emulating the strategically directed, war-painted looters in the Boston Tea Party of 1773 now by breaking into headquarters or warehouses of big pharma conglomerates such as Pfizer, Inc. and dumping their over-priced, corruptly protected  products into rivers. ",https://www.alternet.org/2020/06/the-die-is-cast-can-the-republic-be-saved/,1,Alternet,black lives matter,1,Expresses writer’s opinion,"['war-painted', 'looters', 'corruptly']",nMAgMUGpLFkfjqRiwBTyQ3,The Boston tea party was a protest against high taxes on imported goods imposed by Britain during the American Revolutionary War. It,2,center,negative,0.8491955,neutral,0.5755581,Biased,0.9889888167381287,Biased,0.7804085612297058
A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,https://www.nbcnews.com/feature/nbc-out/iowa-republicans-try-ax-transgender-protections-state-law-n1126426?cid=public-rss_20200130,0,MSNBC,gender,1,Entirely factual,[],VNupcKQbAVnAQXiG25r8AR,The proposal was withdrawn after it received criticism from LGBTQ+ advocates,0,right,negative,0.6997273,negative,0.5846736,Non-biased,0.7636706233024597,Non-biased,0.9153509140014648
