Original Text,Debiased Text,roberta_debiased_prediction,roberta_debiased_label,original_sentiment,original_sentiment_score,debiased_sentiment,debiased_sentiment_score,original_bias_label,original_bias_score,debiased_bias_label,debiased_bias_score
"The whole endeavor, born of desperation, became an embarrassing fiasco for the president, but there was an underlying point of real significance: Trump and his allies realized that the American mainstream didn’t see the value of the regressive GOP tax plan, which disproportionately benefited the wealthy and big corporations.","The whole endeavor, born  desperation, became an embarrassing fiasco   president, but there was an underlying point  real significance:  and  allies realized that  American mainstream didn’t see  value    GOP tax plan, which disproportionately benefited  people and big corporations.",1,left,negative,0.7729733,negative,0.71173257,Biased,0.993690013885498,Biased,0.9908908009529114
"If China’s actions in the coronavirus catastrophe offer any window into this communist regime’s machinations, deceitfulness, and debasement of human life, it is that the threat they represent is unlike anything America has faced.","If China’s actions     offer any window into this communist regime’s machinations, deceitfulness, and debasement   life, it is that   they represent is unlike anything America has faced.",0,right,negative,0.8546708,negative,0.7368181,Biased,0.9901599287986755,Biased,0.9910979866981506
"While a number of transgender advocates and LGBTQ health experts applauded P&G’s decision to redesign the Always packaging by removing the female signs, the company’s announcement sparked criticism online, including a bounty of transphobic commentary.","While  number  transgender advocates and LGBTQ health experts applauded P&G’s decision  redesign  Always packaging by removing   signs,  company’s announcement sparked criticism online, including  bounty and transphobic commentary.",1,left,neutral,0.5385847,neutral,0.5180655,Biased,0.9176867008209229,Biased,0.9306109547615051
"What we learn from those places is that people who know they don’t have police protection will seek protection from whomever wields power, which is why even now you see businessowners whose stores have been looted and burned out expressing supporter for BLM and the ongoing protests."," we learn  those places is that people who know they don’t have police protection will seek protection  whomever wields power, which is why  now you see businessowners whose stores have been looted and burned  expressing supporter  BLM and the ongoing protests.",0,right,negative,0.6754512,negative,0.65927845,Non-biased,0.703802764415741,Non-biased,0.700238049030304
"Malinowski, a Democrat representing New Jersey’s seventh congressional district, said in a call that he would threaten McConnell by withholding Lysol for his constituents.","Malinowski,  Democrat representing New Jersey’s seventh congressional district, said    that he would threaten McConnell by withholding Lysol  from constituents.",2,center,negative,0.6335215,negative,0.6585412,Non-biased,0.85170578956604,Non-biased,0.8781476616859436
"The targeted killing is the latest demonstration of how, two decades after the CIA spotted but was unable to kill a man they believed was al Qaeda leader Osama bin Laden in Afghanistan, the U.S. has become adept at hunting and killing its enemies, particularly in the troubled regions of the Middle East, South Asia and Africa.","The targeted  is  latest demonstration  how, two decades after  CIA spotted but was unable     they believed was al Qaeda leader Osama bin Laden  Afghanistan,  U.S.  become adept at hunting and   enemies, particularly   troubled regions  of Middle East, South Asia and Africa.",1,left,negative,0.7567481,negative,0.5265635,Biased,0.9724595546722412,Biased,0.9786409735679626
Joe Biden told Wall Street donors to his campaign that he planned to reverse most of President Donald Trump’s tax cuts.,Joe Biden told Wall Street donors   campaign that he planned  reverse most of President Donald Trump’s tax cuts.,0,right,neutral,0.75389457,neutral,0.73592764,Biased,0.5133656859397888,Biased,0.5784081816673279
"It’s Dr. Martin Luther King, Jr. Day, and for several hours now countless mostly white, mostly male pro-gun, anti-gun control activists have been marching throughout the streets of Richmond, Virginia, claiming to merely be exercising their Second Amendment rights. ","It’s Dr. Martin Luther King, Jr. Day, and  several hours now  mostly white, mostly male pro-gun, anti-gun  activists have been marching throughout  streets  Richmond, Virginia,   merely be exercising their Second Amendment rights. ",1,left,neutral,0.6126556,neutral,0.64910096,Biased,0.87347412109375,Biased,0.6106411814689636
"This is all great news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?","This is all  news. It now looks like we have  safe,  effective vaccine that   potential  significantly reduce many forms  cancer. So why is it also becoming  key target for many anti-vaxxers?",1,left,positive,0.8524184,neutral,0.48643813,Biased,0.991600513458252,Biased,0.9909961223602295
"Merril Hoge, one of the most outspoken critics against the alarm surrounding CTE studies, also underscored that, from his lens, demonizing sports like football does more harm to American children than good.","Merril Hoge, one   most outspoken critics against  alarm surrounding CTE studies, also underscored that,   lens, demonizing sports like football does   more American children than good.",1,left,negative,0.8808591,negative,0.750452,Biased,0.7788211107254028,Biased,0.8196620345115662
"Spanish football was marred by a player being racially abused during a league game on Saturday, along with street clashes between rival fans outside stadiums before two matches.","Spanish football was marred by  player being racially abused during  league   Saturday, along with street clashes between rival fans outside stadiums before two matches.",2,center,negative,0.89702076,negative,0.87668353,Non-biased,0.6227229237556458,Non-biased,0.6335256695747375
"When he finally spoke in the Rose Garden on Monday, Trump threatened to deploy the military against American citizens if the governors didn’t take his advice for a more forceful crackdown. This threat didn’t appear to cow anyone, and only increased the anger. ","When he finally spoke   Rose Garden  Monday,    deploy  military against American citizens if  governors didn’t take  advice    forceful crackdown. This  didn’t appear  cow anyone, and only increased his anger. ",0,right,negative,0.82178503,negative,0.7993604,Non-biased,0.53542160987854,Biased,0.6132782101631165
Michael Kranish of the Washington Post also published a lengthy article detailing Bloomberg’s verbal diarrhea when it came to expressing his uglier views on women. ,Michael Kranish   Washington Post also published  lengthy article detailing Bloomberg’s verbal diarrhea when it came  expressing  uglier views on women. ,0,right,negative,0.6062361,negative,0.60420907,Biased,0.7232074737548828,Biased,0.8112761378288269
"Top Democrat and GOP members of the House Armed Services Committee ducked and dodged when a Pentagon official said the sex of transgender soldiers is decided by their biology, not by their claimed “gender identity.”","Top Democrat and GOP members   House Armed Services Committee ducked and  when  Pentagon official said  sex  transgender soldiers is decided by  biology,  by  "" “gender identity.”",2,center,negative,0.65576583,negative,0.5981046,Non-biased,0.7406284213066101,Non-biased,0.6467652916908264
Inside Trump’s brazen plot to gut Social Security,Inside Trump’s brazen plot  on Social Security,1,left,negative,0.5406297,neutral,0.5985884,Biased,0.9763042330741882,Biased,0.5312108397483826
Abortion rights advocates worry this could make it more difficult for women to get access to abortion through the courts or that it could lead to criminalizing contraception or in-vitro fertilization.,Abortion rights advocates worry this could make it  difficult  women  get access     courts or that it could lead to criminalizing contraception or in-vitro fertilization.,2,center,negative,0.8358721,negative,0.7786112,Non-biased,0.8376869559288025,Non-biased,0.8440922498703003
"So it appears McCabe is allowed to lie to federal investigators about corruption affecting the U.S. government, cover it up with more lies, and get off scot-free even though what he did is a crime, while Stone faces years in prison for lying about gossip that affected nothing of public importance.","So it appears McCabe is allowed    federal investigators about corruption affecting  U.S. government, cover it    lies, and get  scot-free  though what he did is  crime, while Stone faces years  prison   about gossip that affected  his public importance.",1,left,negative,0.79156804,negative,0.5899059,Biased,0.9895646572113037,Biased,0.9914677143096924
"It’s also hard to imagine many people emulating the strategically directed, war-painted looters in the Boston Tea Party of 1773 now by breaking into headquarters or warehouses of big pharma conglomerates such as Pfizer, Inc. and dumping their over-priced, corruptly protected  products into rivers. ","It’s also    many people emulating  strategically directed, war-painted    Boston Tea Party  1773 now by  into headquarters or warehouses  big pharma conglomerates such as Pfizer, Inc. and dumping their over-priced, corruptly protected  products into rivers. ",1,left,negative,0.8491955,negative,0.7453563,Biased,0.9889888167381287,Biased,0.9696809649467468
A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,A bill proposed by  group  Republican lawmakers  Wednesday that would have amended  Iowa Civil Rights  by removing protections against discrimination  transgender people is .,1,left,negative,0.6997273,neutral,0.793576,Non-biased,0.7636706233024597,Non-biased,0.8131098747253418
"By threatening the kids and their families with deportation, the administration’s U.S. Citizenship and Immigration Services was effectively delivering death sentences.","By   kids and  families  deportation,  administration’s U.S. Citizenship and Immigration Services was effectively delivering death sentences.",1,left,negative,0.9047671,negative,0.79295015,Biased,0.9953238368034363,Biased,0.995354413986206
"In truth, these examples are caricatures of Epicureanism. Epicureanism is not hedonism; rather, it abhors lack of restraint and shameless debauchery. After all, these things bring more pain than pleasure.","In truth, these examples are caricatures  Epicureanism. Epicureanism is  hedonism; rather, it abhors lack  restraint and shameless debauchery. After all, these things bring more pain than pleasure.",0,right,negative,0.842798,negative,0.88401675,Biased,0.9928151369094849,Biased,0.9928234815597534
Here's why the tormented conservative mind is so drawn to the dangerous allure of miracle drugs,Here's why  tormented conservative mind is  drawn    allure  to drugs,1,left,negative,0.89646095,negative,0.7987183,Biased,0.9749222993850708,Biased,0.976150393486023
"Trump is nothing if not a public relations savant. Once the dust settles, if he cannot take credit for restoring order, he’ll do his best to deflect and lay the blame at someone else’s feet. He’ll remind his followers what the other side thinks of them, how they desecrated our American values, and what will happen to them if Joe Biden becomes the apologizer-in-chief."," is  if   public relations savant. Once   settles, if he cannot take credit  restoring order, he’ll   best  deflect and lay   at someone else’s feet. He’ll remind   what  other side thinks  them, how they desecrated our American values, and what will happen  them if Joe Biden becomes the apologizer-in-chief.",0,right,negative,0.7705817,negative,0.6807402,Biased,0.9953534603118896,Biased,0.995170533657074
